Unnamed: 0,text
0,"By sending weapons to Ukraine and cheer-leading the Ukrainian military, the European Union is knowingly extending the torment of that nation all for the sake of doing damage to Russia #RussiaUkraine #SpecialMilitaryOperation #Spetsnaz"
3,"@MSNBC ð War in #Ukraine is a Massive Bonanza for US Weapons Industry.
#RussiaUkraineWar #war #weapons
https://t.co/ZoOBLVpDjM"
4,"""We believe in peaceful and non-violent civil disobedience"".#ElPatron  #RussiaUkraineConflict #Anonymitalia #Anonymous #StandWithUkraine #SlavaUkrayini https://t.co/g0bqcRnDiW"
5,"Following talks with his #Iranian counterpart in #Moscow, #Russian Foreign Minister #SergeiLavrov said that #US suggestions that #Moscow is blocking efforts to revive the #Iran #nuclear deal are untrue. https://t.co/W0tgxTCBBx"
7,"It will take time for talks with #Russia to end in #Ukraine's interests - #Zelensky
#RussiaUkraineWar #UkraineRussiaWar #vannewsagency https://t.co/NsZeyXp78M https://t.co/y7WBuWqxRF"
15,"â¡Ukraine has captured about 1,000 #Russian soldiers. This was stated by President of Ukraine Volodymyr Zelensky during a meeting with the Prosecutor of the International Criminal Court Karim Khan.âðºð¦

#RussianUkrainianWar #Ukraineï¸ #PutinHitler #TerroRussia #StopPutin https://t.co/ykjoALY609"
16,"16.03.2022 16H00 UTC

Reminds me of Colonel McGregor on Tucker Carlson
 #FoxNews
#Ukraine
#Russia
#Kyiv https://t.co/FsjaCFZPKW"
19,Every day that passes #Russia wages an illegal war upon a peaceful neighbour. Please join the urgent call for a new #NurembergTribunal to investigate #Putin and his cronies for the international crime of #aggression. #StandWithUkraine Sign &amp; RT: https://t.co/QweyErkABA
21,"Unprecedented sanctions imposed on #Russia to date exclude energy trade for the most part, but major oil companies, trading houses, shipping firms and banks have backed away from doing business with the country."
25,"We need more brave heroes like Maria Ovsyannikova in Russia. ð

The resistance movement needs to  hold fast and safely to topple @KremlinRussia and to #StopPutinsWar. 

As #RussianLivesMatter too, #StandWithUkraine https://t.co/1GgRwX2XfG"
31,"National Law Review - More Severe Sanctions on #Russia:ð·ðºâï¸ Global Law firm K&amp;L Gates now indicate that under Biden's first executive order EO 14066 ""it is likely OFAC will interpret 'energy sector' to"" include #Uranium (in any form) &amp; #Nuclear #energyð¯ https://t.co/haplWL5BGH https://t.co/lOsdCzfXqk"
34,"A man in Russia sings the Ukrainian national anthem during a protest against Putin's war in Ukraine near Red Square in Moscow.ð¥ºð®
Those who support violence profane the name of God. ð
#UkraineWar #Ukraine #Mariupol #UkraineUnderAttack #RussiaUkraineWar #PutinWarCriminal https://t.co/s9lZ5933ar"
35,"Really George?! ð¤ð¤ #UkraineUnderAttaÑk #CivilianCasualties #WarCrimes and you worry about a suit?
You see... That's the real difference between priorities and stupidity 
#StopRussia #StandWithUkraine https://t.co/MJc5SR7duf"
36,"ð´ #BREAKING: A US national has been killed in a Russian airstrike carried out against the civilian population of Chernihiv.

#Russia | #Ukraine | #Chernihiv 

https://t.co/If9hMipyhg"
42,Scenes from the beginning of food shortages in several #Russian cities. This is the result of #Putin's mistake for waging a war on #Ukraine. These scenes are reminiscent of the bankrupt economy of the Soviet Union during the war in Afghanistan in the 1980s. https://t.co/uSlOm9PbCF
45,"This satellite image taken by Maxar technologies on March 14, 2022 shows 46 helicopters of #RussianAirForce in Velikii Bokov airport in #Bearus located within 35km from border with #Ukraine.
- Ka-52 x 13
- Mi-24P/35M x 8
- Mi-8AMTSh x 25 https://t.co/3dKylcCMBR"
46,"How U.S. conservative evangelicals have developed strong ties with the Russian Orthodox Church, dovetailing with white racist fantasies of #Russia as an ethnically pure land symbolized by the bare-chested kleptocrat on horseback, Vladimir #Putin: https://t.co/KfnBicoZGp"
47,"Putin negotiating tactics.
#Ukraine #UkraineUnderAttack #PutinWarCriminal #PutinsWar #Putin #RussiaUkraineWar https://t.co/i9iQS2nwKS"
51,"#Chinese Ambassador to the #US Qin Gang said that. #Russia's war against #Ukraine ""is not good for #China"". He also rejected that China knew about Russia's preparations for war: ""If China had known of the inevitable crisis, we would have done everything possible to prevent it"""
54,"Near #Pryluky Ukrainians defeated a group of russian soldiers and captured the ""Urahan""

#StandWithUkraine #StopRussianAggression #StopWarInUkraine https://t.co/onvFcorcOq"
59,"I take no pleasure in retweeting this.

With the threats by the #Russian ambassador to #Bosnia the meddling and intimidation continues. 

#Putin will establish his sphere of influence by force if we don't take responsibility for peace and security in ALL of Europe. https://t.co/66m4c4biFh"
60,"Several recent incidents of #drones flying into #NATO territory have forced the alliance to decide how to respond to incidents inside its borders. The lack of emergency communication lines with #Russia enhances the risk of extending the war #stopthewar 
https://t.co/7SzJtHDBi9"
67,"Ukrainian president Zelenskyy reveals compromise he wonât make
#Zelenskyy #Ukraineï¸ #Russia #UkraineRussiaWar 
https://t.co/JYkywnYae5"
68,"@benjancewicz Oh, that's in #Russia? At first glance, I thought that was a recent photo of the kettling of peaceful protestors in #Ottawa and across #Canada last month. #FreedomOfSpeech"
69,One way to mess with #Putin without risking war is to deliberately cause a brain drain. https://t.co/vYiUiERNXS Lots of Russians would gladly come here. #Ukraine #UkraineRussiaWar
72,#PUTINS #War dead in #Ukraine now approaching 15000 mostly drafted from EASTERN #Russia to avoid unrest in #Moscow &amp; #StPetersburg according to local source. Fighting over sugar in shops. In DESPERATION Russia now firing hypersonic missiles  - follow live https://t.co/kyJ3YLXYHX
76,"French Air Force aircraft in flight over #Romania.
#NATO #UkraineRussiaWar #Ukraine 
https://t.co/Lm3ZwXbnu0"
82,"If #Iran, whichâdespite its rhetoric has never invaded another country (though itâs financed some nasty proxy wars)â can be considered too dangerous to possess nuclear weapons, clearly #Russia is beyond too dangerous. It should be treated exactly like Iran."
88,"ð´#Russian military equipment is approaching the #Belarusian border, Belarusian diplomats have left Ukraine, and this is a ""worrying sign"" â Adviser to the Minister of Internal Affairs Denysenko on the air of the national telethon

#StopRussia #StopBelarus
https://t.co/iF8ybrAuAU"
90,"#photogallery | As the Russian invasion of Ukraine entered fourth week, scenes from funerals have become a mainstay in cities like Kyiv, Kharkiv, Lviv &amp; others under Russian attack.

#RussiaUkraineWar #RussiaInvasion #Ukraine #Russia #Kyiv #Kharkiv #Lviv

https://t.co/e3hBEA0BSM https://t.co/yfZsnaLShS"
91,#Russia NOT killing civilians like the #Ukraineï¸  Nazi's do https://t.co/LyvfQwJgIe
93,"Russia hopes military operation in Ukraine ends with security guarantees, expects Chinese relations to ""get stronger"" https://t.co/x22hycxjse #Russia #Ukraine #war #WarNews"
98,Indian pharma companies may increase trade with Russia; for more info kindly visit https://t.co/RcUehxaKM8 #Russia #pharmaceuticals https://t.co/TXPynZGd87
100,Russian aircraft are now bombing areas of Makeevka in Eastern Ukraine. There is apparently little or no Stinger missiles or Air Defence systems around that area. #Russia #Putin #Ukraine https://t.co/LaRUAamjcy
105,"The #Russian Aggression in #Ukraine 
The morning in #Odessa begins with sunrise at sea, birds singing
Only again the Russians spoil the whole picture with their aggression https://t.co/bfLoqBHwPX"
106,@maryilyushina @fpleitgenCNN Is there a #Russian law against drawing Hitler mustaches on #Putin posters? Asking for a few million pissed off #Russians
110,"Now a woman is tied to a pole and beaten. All in the name of nationalism by the Neo Nazi #Ukrainian government.
#Ukraine #UkraineInvasion #UkraineRussiaWar #Russia #Russian #RussianUkrainianWar #RussiaInvadedUkraine #RussiaUkraineWar #Putin https://t.co/pGE7V2vsoY"
