Unnamed: 0,text
15,"â¡Ukraine has captured about 1,000 #Russian soldiers. This was stated by President of Ukraine Volodymyr Zelensky during a meeting with the Prosecutor of the International Criminal Court Karim Khan.âðºð¦

#RussianUkrainianWar #Ukraineï¸ #PutinHitler #TerroRussia #StopPutin https://t.co/ykjoALY609"
19,Every day that passes #Russia wages an illegal war upon a peaceful neighbour. Please join the urgent call for a new #NurembergTribunal to investigate #Putin and his cronies for the international crime of #aggression. #StandWithUkraine Sign &amp; RT: https://t.co/QweyErkABA
25,"We need more brave heroes like Maria Ovsyannikova in Russia. ð

The resistance movement needs to  hold fast and safely to topple @KremlinRussia and to #StopPutinsWar. 

As #RussianLivesMatter too, #StandWithUkraine https://t.co/1GgRwX2XfG"
34,"A man in Russia sings the Ukrainian national anthem during a protest against Putin's war in Ukraine near Red Square in Moscow.ð¥ºð®
Those who support violence profane the name of God. ð
#UkraineWar #Ukraine #Mariupol #UkraineUnderAttack #RussiaUkraineWar #PutinWarCriminal https://t.co/s9lZ5933ar"
37,"#Putin is #Stalin. How could the West turn a blind eye to this for 20 years? We never learn from history.
#PutinsWarCrimes 

https://t.co/PtOTtLJbid https://t.co/LCDn0S8mQK"
38,Values matter. Share this far and wide. Over 400 Companies Have Withdrawn from RussiaâBut Some Remain @YaleSOM #Putin #Ukraine #values #Sanctions #democracy https://t.co/uYogkmruUb
41,"This is ths same problem with autocrats in power too long, like #Putin, who find they are God's in their own self manufactured all powerful positions where they think they can attack others, or even their own, who allowed them power.
From Carl Sagan's wife: https://t.co/bmQiKhzIxZ"
42,Scenes from the beginning of food shortages in several #Russian cities. This is the result of #Putin's mistake for waging a war on #Ukraine. These scenes are reminiscent of the bankrupt economy of the Soviet Union during the war in Afghanistan in the 1980s. https://t.co/uSlOm9PbCF
46,"How U.S. conservative evangelicals have developed strong ties with the Russian Orthodox Church, dovetailing with white racist fantasies of #Russia as an ethnically pure land symbolized by the bare-chested kleptocrat on horseback, Vladimir #Putin: https://t.co/KfnBicoZGp"
47,"Putin negotiating tactics.
#Ukraine #UkraineUnderAttack #PutinWarCriminal #PutinsWar #Putin #RussiaUkraineWar https://t.co/i9iQS2nwKS"
48,#Putin is ready for fist...  Two thumbs up for the  world saviour. https://t.co/dGdd9ibRZj
50,"@BRWalkoff @BleacherReport @jonmorosi NOW LIVE!ð´

HUGE CONVERSATIONS! ð£ 
HUGE REACTIONS! ð¯ 
HUGE HEADLINES! ð° 
ððððððððð

TUNE IN &amp; DONT MISS IT!ð

#Ukraine #UkraineWar #PutinWarCriminal #Bitcoin #ETH #earthquake #blockchain #BTC #LIVE #BREAKING #NFL #Biden 

https://t.co/w4BYqxotnu"
59,"I take no pleasure in retweeting this.

With the threats by the #Russian ambassador to #Bosnia the meddling and intimidation continues. 

#Putin will establish his sphere of influence by force if we don't take responsibility for peace and security in ALL of Europe. https://t.co/66m4c4biFh"
63,"President Biden on the Russian dictator:
âI think he is a war criminal.â 
#PutinWarCriminal 
#PutinWarCriminal 
#PutinWarCriminal https://t.co/UBtTFeJ1yl"
66,"@SenateForeign IMHO. #Assad &amp; #Putin would not help in #Syria with âthe new way of the world,â #YouthPeace. They are the worlds two biggest #Anachronisms. Next best hope is #Iran #Turkey #UAE. Our NGO will actively seek their support for #SyrianYouthPeace. We will not give up on any #Youth. â®ï¸"
69,One way to mess with #Putin without risking war is to deliberately cause a brain drain. https://t.co/vYiUiERNXS Lots of Russians would gladly come here. #Ukraine #UkraineRussiaWar
71,"Sascha, a baby goat with deformed hoofs rescued from #PutinsWar ...at the #AdaVeterinarianClinic in #PrzemyÅl, #Poland.
The vet. clinic has set up a #rescue service for the #pets left behindð in #Ukraine ...more than 400 animals rescued ð

ð· #DanielCole/AP .@guardian https://t.co/aD1zQY8FlT"
80,"@KyivIndependent Russia faces brain drain as thousands flee abroad
https://t.co/PHrBmpyI3p
#Putin insane criminal and enemy of his own people with increasing number of tech workers and scientists leaving so Russian economy going down tubes like #Putin 
#StandWithUkraineï¸"
81,"All #Putin has to do is GTFO of #Ukraine.  If there's a  #nazi analogy to be made, then #PutinHitler https://t.co/G8WfOTH1Um"
85,"President Trump hasn't expressed his solidarity with the people of Ukraine. 

Shocker

#StandWithUkraine #StopPutin #StopPutinNOW #stoprussia https://t.co/C8bTeRJjem"
89,"Read #Putinâs biography,Â âVladimir Putin. Life Historyâ where he states: âI just understood that if you want to win, then you have to fight to the finish in every fight, as if it was the last and decisive battleâ¦you need to assume that there is no retreat.â#Ukraineï¸  #NATO https://t.co/68XGdUq6qF"
100,Russian aircraft are now bombing areas of Makeevka in Eastern Ukraine. There is apparently little or no Stinger missiles or Air Defence systems around that area. #Russia #Putin #Ukraine https://t.co/LaRUAamjcy
102,"Oh #FFS 

@DanWootton @GB News has 2 of 3 frothing at the mouth anti-Putin propagandists so far

How does #Putin's Hitler like invasion of the #Ukraine
 
Compare to our liberation of #Serbia #Afghanistan #Iraq #Libya Syria...

Oh 3rd guest is anti Putin too

What a surprise!ð±ð¤¦ââï¸ https://t.co/9lOpKlEjBB"
106,@maryilyushina @fpleitgenCNN Is there a #Russian law against drawing Hitler mustaches on #Putin posters? Asking for a few million pissed off #Russians
110,"Now a woman is tied to a pole and beaten. All in the name of nationalism by the Neo Nazi #Ukrainian government.
#Ukraine #UkraineInvasion #UkraineRussiaWar #Russia #Russian #RussianUkrainianWar #RussiaInvadedUkraine #RussiaUkraineWar #Putin https://t.co/pGE7V2vsoY"
